Id,CustomerId,RestaurantId,Amount,Status,DEId,Cart,PaymentMode
1,770,472,808.99,Female,114,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,neque
2,17,603,691.89,Male,283,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,dolor
3,370,284,699.87,Male,873,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,rutrum
4,485,893,410.55,Male,805,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,aliquet
5,698,913,526.65,Female,395,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,accumsan
6,27,234,994.38,Female,501,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,nunc
7,478,484,409.09,Male,508,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,ante
8,299,808,812.27,Male,901,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci,elementum
9,278,928,844.65,Male,30,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,rutrum
10,317,826,373.46,Male,560,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,amet
11,951,548,343.3,Male,12,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin,donec
12,545,841,769.52,Male,646,praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,sagittis
13,433,340,66.34,Male,336,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,amet
14,479,393,734.28,Female,187,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,sagittis
15,228,31,123.84,Male,110,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,porttitor
16,468,243,250.49,Female,278,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,aliquam
17,953,137,425.93,Male,57,massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,in
18,397,706,442.71,Male,944,pretium iaculis diam erat fermentum justo nec condimentum neque sapien,pellentesque
19,765,465,10.54,Male,858,ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,in
20,23,405,467.38,Female,542,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,sit
21,690,287,24.88,Female,731,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,at
22,8,482,531.38,Female,773,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,nulla
23,416,461,643.06,Male,834,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,semper
24,70,781,280.38,Male,488,id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,bibendum
25,966,286,327.38,Female,490,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,velit
26,949,232,318.11,Female,267,morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,montes
27,864,40,864.12,Female,944,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus,elementum
28,8,598,491.5,Male,342,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut,varius
29,331,481,108.86,Male,679,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae,pede
30,631,644,832.24,Female,897,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,at
31,722,191,594.79,Female,602,sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,in
32,104,522,901.09,Female,863,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,morbi
33,967,610,66.21,Male,279,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,in
34,917,218,763.18,Male,918,proin at turpis a pede posuere nonummy integer non velit,sed
35,683,576,337.29,Male,79,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean,in
36,390,689,74.47,Male,493,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,eleifend
37,816,256,56.05,Male,626,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis,tortor
38,585,425,540.28,Female,75,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,luctus
39,113,671,708.03,Female,359,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,sed
40,966,502,340.69,Male,877,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit,amet
41,852,866,23.84,Male,256,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti,dolor
42,805,736,329.64,Male,448,dui proin leo odio porttitor id consequat in consequat ut,et
43,657,910,472.04,Male,684,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,accumsan
44,143,650,628.72,Male,326,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,dolor
45,74,356,932.07,Male,719,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at,erat
46,828,621,59.65,Male,544,elementum nullam varius nulla facilisi cras non velit nec nisi,duis
47,723,662,112.23,Female,824,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo,quis
48,161,718,280.03,Female,172,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,cubilia
49,657,919,454.95,Male,33,hac habitasse platea dictumst maecenas ut massa quis augue luctus,placerat
50,303,425,482.37,Male,867,donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in,bibendum
51,652,321,879.56,Female,268,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,in
52,779,127,616.88,Male,523,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,laoreet
53,466,381,465.6,Female,771,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut,nunc
54,66,502,471.3,Female,9,blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue,scelerisque
55,570,225,334.48,Female,509,semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id,eu
56,267,282,993.64,Male,858,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque,potenti
57,193,397,405.3,Female,366,sit amet diam in magna bibendum imperdiet nullam orci pede,at
58,322,209,77.93,Female,286,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi,tempus
59,1000,771,274.56,Male,448,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,vel
60,508,651,889.49,Female,689,erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,mauris
61,28,93,148.31,Female,238,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,vulputate
62,282,385,906.44,Male,281,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,a
63,995,10,989.09,Female,871,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,velit
64,284,81,486.23,Male,901,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,eu
65,616,82,529.17,Female,66,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,pellentesque
66,936,969,696.26,Female,508,pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,luctus
67,895,61,629.0,Male,479,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,dapibus
68,8,317,629.73,Female,697,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,diam
69,708,545,251.82,Male,842,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,luctus
70,811,565,725.34,Male,107,primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,vestibulum
71,873,866,116.12,Female,558,convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,nec
72,359,300,268.14,Male,555,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,quis
73,205,4,466.93,Male,328,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat,quis
74,686,795,961.52,Female,58,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum,condimentum
75,724,921,140.42,Male,148,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget,placerat
76,707,210,486.46,Male,847,nisl aenean lectus pellentesque eget nunc donec quis orci eget,est
77,50,307,61.71,Female,203,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,ante
78,912,59,595.27,Male,18,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula,convallis
79,405,18,162.13,Male,960,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut,justo
80,428,163,561.4,Female,711,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,non
81,221,665,992.05,Male,241,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,venenatis
82,26,981,781.78,Female,900,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,at
83,55,621,452.07,Male,192,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,id
84,231,643,789.2,Female,331,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,pede
85,961,546,463.91,Female,402,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,turpis
86,709,955,571.91,Female,42,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,imperdiet
87,546,415,639.41,Female,531,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,felis
88,642,518,612.19,Male,946,lectus vestibulum quam sapien varius ut blandit non interdum in ante,ante
89,983,379,481.71,Male,378,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,tortor
90,541,360,836.33,Male,24,a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,in
91,6,530,455.39,Female,705,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,consequat
92,880,868,466.95,Male,255,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,dignissim
93,578,145,467.87,Female,414,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi,eleifend
94,440,92,319.72,Male,83,non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,a
95,181,536,164.44,Male,494,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,nam
96,672,120,332.36,Female,865,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,sapien
97,315,835,588.33,Female,711,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse,quam
98,372,257,648.41,Female,563,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,ut
99,921,680,231.47,Male,680,platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,amet
100,854,211,242.55,Female,665,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,quis
101,422,522,180.0,Male,448,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit,non
